field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
specimen_id,,,,YES,,integer,,,,specimens
rheobase_sweep_id,,,,YES,,integer,,,,ephys_sweeps
thumbnail_sweep_id,,,,YES,,integer,,,,ephys_sweeps
vrest,,,,YES,,double precision,,,,
ri,,,,YES,,double precision,,,,
sag,,,,YES,,double precision,,,,
vm_for_sag,,,,YES,,double precision,,,,
tau,,,,YES,,double precision,,,,
upstroke_downstroke_ratio_ramp,,,,YES,,double precision,,,,
upstroke_downstroke_ratio_short_square,,,,YES,,double precision,,,,
upstroke_downstroke_ratio_long_square,,,,YES,,double precision,,,,
peak_v_ramp,,,,YES,,double precision,,,,
peak_t_ramp,,,,YES,,double precision,,,,
peak_v_short_square,,,,YES,,double precision,,,,
peak_t_short_square,,,,YES,,double precision,,,,
peak_v_long_square,,,,YES,,double precision,,,,
peak_t_long_square,,,,YES,,double precision,,,,
trough_v_ramp,,,,YES,,double precision,,,,
trough_t_ramp,,,,YES,,double precision,,,,
trough_v_short_square,,,,YES,,double precision,,,,
trough_t_short_square,,,,YES,,double precision,,,,
trough_v_long_square,,,,YES,,double precision,,,,
trough_t_long_square,,,,YES,,double precision,,,,
fast_trough_v_ramp,,,,YES,,double precision,,,,
fast_trough_t_ramp,,,,YES,,double precision,,,,
fast_trough_v_short_square,,,,YES,,double precision,,,,
fast_trough_t_short_square,,,,YES,,double precision,,,,
fast_trough_v_long_square,,,,YES,,double precision,,,,
fast_trough_t_long_square,,,,YES,,double precision,,,,
slow_trough_v_ramp,,,,YES,,double precision,,,,
slow_trough_t_ramp,,,,YES,,double precision,,,,
slow_trough_v_short_square,,,,YES,,double precision,,,,
slow_trough_t_short_square,,,,YES,,double precision,,,,
slow_trough_v_long_square,,,,YES,,double precision,,,,
slow_trough_t_long_square,,,,YES,,double precision,,,,
threshold_v_ramp,,,,YES,,double precision,,,,
threshold_v_short_square,,,,YES,,double precision,,,,
threshold_v_long_square,,,,YES,,double precision,,,,
threshold_i_ramp,,,,YES,,double precision,,,,
threshold_i_short_square,,,,YES,,double precision,,,,
threshold_i_long_square,,,,YES,,double precision,,,,
threshold_t_ramp,,,,YES,,double precision,,,,
threshold_t_short_square,,,,YES,,double precision,,,,
threshold_t_long_square,,,,YES,,double precision,,,,
adaptation,,,,YES,,double precision,,,,
latency,,,,YES,,double precision,,,,
avg_isi,,,,YES,,double precision,,,,
f_i_curve_slope,,,,YES,,double precision,,,,
has_burst,,,,YES,,boolean,,,,
has_pause,,,,YES,,boolean,,,,
has_delay,,,,YES,,boolean,,,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
