field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
structure_id,,,,YES,,integer,,,,structures
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
image_series_id,,,,YES,,integer,,,,image_series
sum_pixels,,,,YES,,double precision,,,,
area,,,,YES,,double precision,,,,
normalized_area,,,,YES,,double precision,,,,
nuclei_count,,,,YES,,double precision,,,,
nuclei_coverage_fraction,,,,YES,,double precision,,,,
