field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
size,,,,YES,,bigint,,,,
content_type,,,,YES,,character varying,,255.0,,
filename,,,,YES,,character varying,,255.0,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
storage_directory,,,,NO,,character varying,,255.0,,
well_known_file_type_id,,,,YES,,integer,,,,well_known_file_types
file_source_id,,,,YES,,integer,,,,file_sources
published_at,,,,YES,,date,,,,
workflow_state,,,,YES,,character varying,,255.0,,
attachable_id,,,,YES,,integer,,,,
attachable_type,,,,YES,,character varying,,255.0,,
