field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,YES,,character varying,,255.0,,
contents_quantity_ng,,,,YES,,double precision,,,,
contents_failed,,,,YES,,boolean,,,,
rs_tubeset_id,,,,YES,,integer,,,,rs_tubesets
sample_id,,,,YES,,integer,,,,
sample_type,,,,YES,,character varying,,255.0,,
well_type_id,,,,YES,,integer,,,,well_types
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
