field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
file_name,,,,YES,,character varying,,255.0,,
user_id,,,,YES,,integer,,,,users
num_probes,,,,YES,,integer,,,,
file_size,,,,NO,,integer,,,0,
file_data,,,,YES,,bytea,,,,
md5sum,,,,YES,,character varying,,32.0,,
parser_success,,,,YES,,boolean,,,FALSE,
uploader_success,,,,YES,,boolean,,,FALSE,
parser_warnings,,,,YES,,text,,,,
parser_errors,,,,YES,,text,,,,
uploader_warnings,,,,YES,,text,,,,
uploader_errors,,,,YES,,text,,,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
