field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
ephys_stimulus_id,,,,YES,,integer,,,,ephys_stimuli
workflow_state,,,,YES,,character varying,,255.0,,
sweep_number,,,,YES,,integer,,,,
bridge_balance_mohm,,,,YES,,double precision,,,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
stimulus_amplitude,,,,YES,,double precision,,,,
stimulus_duration,,,,YES,,double precision,,,,
stimulus_units,,,,YES,,character varying,,255.0,,
leak_pa,,,,YES,,double precision,,,,
pre_noise_rms_mv,,,,YES,,double precision,,,,
post_noise_rms_mv,,,,YES,,double precision,,,,
slow_noise_rms_mv,,,,YES,,double precision,,,,
pre_vm_mv,,,,YES,,double precision,,,,
post_vm_mv,,,,YES,,double precision,,,,
vm_delta_mv,,,,YES,,double precision,,,,
slow_vm_mv,,,,YES,,double precision,,,,
num_spikes,,,,YES,,integer,,,,
specimen_id,,,,YES,,integer,,,,specimens
peak_deflection,,,,YES,,double precision,,,,
stimulus_start_time,,,,YES,,double precision,,,,
stimulus_interval,,,,YES,,double precision,,,,
