field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
source_barcode,,,,YES,,integer,,,,
facs_template_id,,,,YES,,integer,,,,task_templates
facs_resource_id,,,,YES,,integer,,,,facs_resources
previous_experiment_id,,,,YES,,integer,,,,task_templates
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
storage_directory,,,,YES,,character varying,,255.0,,
project_id,,,,YES,,integer,,,,projects
instructions,,,,YES,,text,,,,
flow_analysis_only,,,,YES,,boolean,,,,
estimated_duration_h,,,,YES,,integer,,,,
fluorescent_parameters,,,,YES,,character varying,,255.0,,
is_alive,,,,YES,,boolean,,,,
is_not_infectious,,,,YES,,boolean,,,,
is_not_biohazard,,,,YES,,boolean,,,,
