field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,YES,,character varying,,255.0,,
load,,,,YES,,character varying,,255.0,,
grid_index,,,,YES,,integer,,,,
camera_serial_number,,,,YES,,character varying,,255.0,,
storage_directory,,,,YES,,character varying,,255.0,,
tile_count,,,,YES,,integer,,,,
workflow_state,,,,YES,,character varying,,255.0,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
