field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
plate_name,,,,YES,,character varying,,255.0,,
sequence_id,,,,NO,,integer,,,,sequences
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
ordered,,,,YES,,timestamp without time zone,,,,
received,,,,YES,,timestamp without time zone,,,,
plate_number,,,,YES,,integer,,,,
well_number,,,,YES,,integer,,,,
melting_temp,,,,YES,,double precision,,,,
pct_gc,,,,YES,,double precision,,,,
begin,,,,YES,,integer,,,,
length,,,,YES,,integer,,,,
self_any,,,,YES,,double precision,,,,
self_end,,,,YES,,double precision,,,,
penalty,,,,YES,,double precision,,,,
end_stability,,,,YES,,double precision,,,,
