field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
barcode,,,,YES,,character varying,,50.0,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
run_group_slide_index,,,,YES,,integer,,,,
slide_group_id,,,,YES,,integer,,,,slide_groups
slide_group_index,,,,YES,,integer,,,,
slide_group_x_index,,,,YES,,integer,,,,
slide_group_y_index,,,,YES,,integer,,,,
qc_date,,,,YES,,timestamp without time zone,,,,
run_group_id,,,,YES,,integer,,,,run_groups
name,,,,YES,,character varying,,255.0,,
run_plan_slide_index,,,,YES,,integer,,,,
storage_directory,,,,YES,,character varying,,255.0,,
scanner_id,,,,YES,,integer,,,,scanners
lims1_id,,,,YES,,integer,,,,
ported_from_lims1,,,,YES,,boolean,,,FALSE,
workflow_state,,,,YES,,character varying,,255.0,,
slide_registration_state_id,,,,NO,,integer,,,1,slide_registration_states
segmented,,,,YES,,boolean,,,TRUE,
parent_id,,,,YES,,integer,,,,slides
slide_group_z_index,,,,YES,,integer,,,0,
