field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
local_index,,,,YES,,integer,,,,
cluster_ids,,,,YES,,integer,,,,
ecephys_channel_id,,,,YES,,integer,,,,ecephys_channels
quality,,,,YES,,character varying,,,,
snr,,,,YES,,double precision,,,,
firing_rate,,,,YES,,double precision,,,,
isi_violations,,,,YES,,double precision,,,,
presence_ratio,,,,YES,,double precision,,,,
amplitude_cutoff,,,,YES,,double precision,,,,
isolation_distance,,,,YES,,double precision,,,,
l_ratio,,,,YES,,double precision,,,,
d_prime,,,,YES,,double precision,,,,
nn_hit_rate,,,,YES,,double precision,,,,
nn_miss_rate,,,,YES,,double precision,,,,
silhouette_score,,,,YES,,double precision,,,,
max_drift,,,,YES,,double precision,,,,
cumulative_drift,,,,YES,,double precision,,,,
epoch_name_quality_metrics,,,,YES,,text,,,,
epoch_name_waveform_metrics,,,,YES,,text,,,,
duration,,,,YES,,double precision,,,,
halfwidth,,,,YES,,double precision,,,,
PT_ratio,,,,YES,,double precision,,,,
repolarization_slope,,,,YES,,double precision,,,,
recovery_slope,,,,YES,,double precision,,,,
amplitude,,,,YES,,double precision,,,,
spread,,,,YES,,double precision,,,,
velocity_above,,,,YES,,double precision,,,,
velocity_below,,,,YES,,double precision,,,,
