field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
tvr_00,,,,YES,,double precision,,,,
tvr_01,,,,YES,,double precision,,,,
tvr_02,,,,YES,,double precision,,,,
tvr_03,,,,YES,,double precision,,,,
tvr_04,,,,YES,,double precision,,,,
tvr_05,,,,YES,,double precision,,,,
tvr_06,,,,YES,,double precision,,,,
tvr_07,,,,YES,,double precision,,,,
tvr_08,,,,YES,,double precision,,,,
tvr_09,,,,YES,,double precision,,,,
tvr_10,,,,YES,,double precision,,,,
tvr_11,,,,YES,,double precision,,,,
trv_00,,,,YES,,double precision,,,,
trv_01,,,,YES,,double precision,,,,
trv_02,,,,YES,,double precision,,,,
trv_03,,,,YES,,double precision,,,,
trv_04,,,,YES,,double precision,,,,
trv_05,,,,YES,,double precision,,,,
trv_06,,,,YES,,double precision,,,,
trv_07,,,,YES,,double precision,,,,
trv_08,,,,YES,,double precision,,,,
trv_09,,,,YES,,double precision,,,,
trv_10,,,,YES,,double precision,,,,
trv_11,,,,YES,,double precision,,,,
metric,,,,YES,,double precision,,,,
scale_x,,,,YES,,double precision,,,,
scale_y,,,,YES,,double precision,,,,
scale_z,,,,YES,,double precision,,,,
rotation_x,,,,YES,,double precision,,,,
rotation_y,,,,YES,,double precision,,,,
rotation_z,,,,YES,,double precision,,,,
skew_x,,,,YES,,double precision,,,,
skew_y,,,,YES,,double precision,,,,
skew_z,,,,YES,,double precision,,,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
